,ID,gene_assignment,logFC,AveExpr,t,P.Value,adj.P.Val,B
1911,7894996,,0.177480193,2.299215017,1.375312263,0.177152543,0.999925768,-4.777633112
1912,7967318, HCAR2 ,0.048446821,2.548406486,1.375267236,0.177166383,0.999925768,-4.777685071
1913,8176400, PCDH11X ,0.040660774,2.172622451,1.37480657,0.177308034,0.999925768,-4.77821657
1914,7893190,,-0.205661307,1.913035721,-1.374627561,0.177363101,0.999925768,-4.778423061
1915,7985777, ISG20 ,-0.051217512,2.349070834,-1.374289298,0.177467195,0.999925768,-4.77881319
1916,8035187, MED26 ,0.05317313,2.319267058,1.374219297,0.177488742,0.999925768,-4.778893914
1917,7899069,,0.074926057,2.363673977,1.374205957,0.177492849,0.999925768,-4.778909298
1918,8102350, HSBP1P2 ,-0.062112551,2.10970612,-1.374158103,0.17750758,0.999925768,-4.778964478
1919,7893395,,0.210610397,2.161197177,1.373861966,0.177598765,0.999925768,-4.779305923
1920,7999149, NMRAL1 ,0.050213836,2.199269294,1.373796261,0.177619002,0.999925768,-4.779381671
1921,7976148, FOXN3-AS2 ,-0.070113551,2.211111041,-1.372868767,0.177904851,0.999925768,-4.780450598
1922,8079796, RNF123 ,0.039925982,2.230098838,1.372690834,0.17795973,0.999925768,-4.78065559
1923,7893650,,0.174873507,2.928896709,1.372576199,0.177995093,0.999925768,-4.780787645
1924,8095251, THEGL ,-0.047987264,2.455441201,-1.372308078,0.178077826,0.999925768,-4.781096473
1925,8106727, ATP6AP1L ,-0.080714747,2.083884427,-1.372276552,0.178087556,0.999925768,-4.781132783
1926,8175248, MIR92A2 ,0.074911813,2.178845959,1.371783528,0.178239769,0.999925768,-4.781700506
1927,8060020, FLJ43879 ,-0.05391434,2.119248818,-1.371765732,0.178245265,0.999925768,-4.781720996
1928,7952036, MPZL3 ,-0.040989788,2.462844587,-1.371314983,0.178384519,0.999925768,-4.782239874
1929,7926445, TMEM236 ,-0.049809149,2.293477256,-1.370914851,0.178508205,0.999925768,-4.782700357
1930,7894835,,0.176716509,1.856010964,1.370876856,0.178519953,0.999925768,-4.782744078
1931,7996100, GPR97 ,-0.039005851,2.558984974,-1.370856523,0.17852624,0.999925768,-4.782767473
1932,8137485, DPP6 ,0.046965192,2.208184111,1.370757263,0.178556936,0.999925768,-4.782881682
1933,7918294, C1orf194 ,-0.033971476,2.224118306,-1.370753972,0.178557953,0.999925768,-4.782885469
1934,7896160,,0.069049388,3.387818492,1.370504574,0.178635096,0.999925768,-4.783172392
1935,7901714,,-0.048500035,2.553551697,-1.370445285,0.178653439,0.999925768,-4.783240596
1936,7934161, PRF1 ,-0.039314157,2.458370349,-1.369865313,0.178832947,0.999925768,-4.783907628
1937,7991070, HDGFRP3 ,0.066707189,2.306750003,1.369782175,0.17885869,0.999925768,-4.784003225
1938,7906128, SLC25A44 ,-0.073750679,2.348156192,-1.369504167,0.178944796,0.999925768,-4.784322859
1939,8086462, POMGNT2 ,0.051191262,2.219924659,1.369494149,0.1789479,0.999925768,-4.784334376
1940,8005529, SLC5A10 ,-0.033577196,2.611807079,-1.369212512,0.179035163,0.999925768,-4.78465812
1941,8157671, OR1J4 ,-0.061611164,2.140628768,-1.369050482,0.179085382,0.999925768,-4.784844349
1942,7953278, KCNA5 ,-0.054009755,2.189470311,-1.368370745,0.179296176,0.999925768,-4.785625386
1943,7994091,,-0.068408513,2.090975787,-1.368064104,0.179391332,0.999925768,-4.785977613
1944,8141950, RELN ,-0.045793838,2.21725097,-1.368029002,0.179402227,0.999925768,-4.786017929
1945,7922684, RN7SKP229 ,-0.043899098,2.711717265,-1.367409343,0.179594645,0.999925768,-4.786729475
1946,8150439, ANK1 ,-0.036504589,2.275615924,-1.36734966,0.179613186,0.999925768,-4.786797993
1947,7928915, NUTM2A ,0.038653326,2.44114147,1.367319674,0.179622502,0.999925768,-4.786832418
1948,7893393,,-0.085409203,3.171154207,-1.366219219,0.179964653,0.999925768,-4.788095273
1949,8133625, TRIM74 ,-0.169689067,2.66676223,-1.36547282,0.180197008,0.999925768,-4.788951307
1950,8175311, CT55 ,0.118805204,2.50688468,1.36539903,0.180219991,0.999925768,-4.789035913
1951,7902687, CYR61 ,0.049962627,2.225471188,1.36516484,0.18029295,0.999925768,-4.789304402
